#{"t_start": 1767870456.440601, "env_id": "LunarLander-v3"}
r,l,t
-36.427059,184,1712.53447
-47.777583,196,1712.719703
-60.541989,83,1712.795858
-10.91719,192,1712.97023
8.434738,114,1713.069302
-53.716875,108,1713.167396
-6.988782,221,1713.365181
-56.936301,164,1713.514078
-41.375047,208,1713.717472
-51.025986,66,1713.77026
-60.437048,82,1713.847694
-12.071453,377,1714.184378
-29.31273,145,1714.311442
-7.193957,297,1714.567924
7.363784,104,1714.6602
-52.820081,89,1714.735315
-38.882347,347,1715.025671
-7.585289,193,1715.207396
15.40078,195,1715.374124
-40.038254,116,1715.473037
-27.47156,212,1715.659953
-34.938189,168,1715.811842
-86.789915,225,1716.005626
-31.777145,194,1716.176637
-25.298988,145,1716.302035
55.782397,1000,1717.196386
-59.244591,245,1717.412667
5.972731,232,1717.61246
-74.731205,184,1717.776265
-57.775692,99,1717.867679
-52.278009,97,1717.954935
-69.64959,185,1718.113541
-1.447155,148,1718.237739
-102.50934,132,1718.356272
-45.54048,126,1718.467914
-10.590388,226,1718.672603
32.007822,203,1718.862797
-22.300583,114,1718.962498
-5.69361,218,1719.154217
-20.892228,102,1719.241654
-42.94448,202,1719.421492
0.872205,124,1719.534198
-11.588475,97,1719.624162
20.812111,165,1773.43343
3.260662,125,1773.57443
-20.769723,312,1773.889634
-9.362724,287,1774.143516
8.739581,184,1774.311287
-60.090507,115,1774.412808
-41.863435,145,1774.541326
-20.942998,113,1774.641069
-60.69412,270,1774.894187
16.980228,275,1775.156714
-31.266528,132,1775.277088
-15.205658,441,1775.672392
-21.645835,162,1775.820455
-96.049026,217,1776.015397
-24.97303,1000,1776.937336
-46.549913,318,1777.220997
-51.564528,158,1777.366376
15.50467,144,1777.496896
-46.541134,217,1777.688179
-88.100461,295,1777.952086
-73.954037,377,1778.289447
-74.683823,253,1778.510254
30.363998,283,1778.764335
8.111468,203,1778.943087
-93.361916,225,1779.146128
-25.491705,387,1779.492268
10.540501,176,1779.654319
93.317749,1000,1780.549582
-77.890064,331,1780.849823
114.258426,1000,1781.767612
-46.070127,444,1782.169054
-49.38844,267,1782.406377
20.462615,200,1825.14743
21.420073,100,1825.252275
52.945791,1000,1826.201259
-13.033666,144,1826.334342
6.029952,1000,1827.28871
-53.427624,331,1827.591234
-92.636098,222,1827.797124
